date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
25/09/2024,12/10/2024,19/10/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,19/10/2024,26/10/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,26/10/2024,02/11/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,02/11/2024,09/11/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,09/11/2024,16/11/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,16/11/2024,23/11/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,23/11/2024,30/11/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,30/11/2024,07/12/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,07/12/2024,14/12/2024,1003.04,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,14/12/2024,21/12/2024,1126.73,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,01/02/2025,08/02/2025,2659.32,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,08/02/2025,15/02/2025,2659.32,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,15/02/2025,22/02/2025,2659.32,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,22/02/2025,01/03/2025,1584.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,01/03/2025,08/03/2025,1405.52,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,08/03/2025,15/03/2025,1405.52,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,15/03/2025,22/03/2025,1405.52,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,22/03/2025,29/03/2025,1495.08,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,29/03/2025,05/04/2025,1663.65,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
25/09/2024,05/04/2025,12/04/2025,1516.15,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
