date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
26/12/2024,15/03/2025,22/03/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,22/03/2025,29/03/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,29/03/2025,05/04/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,05/04/2025,12/04/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,12/04/2025,19/04/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,19/04/2025,26/04/2025,1160.86 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,26/04/2025,03/05/2025,929.97 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,03/05/2025,10/05/2025,929.97 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,10/05/2025,17/05/2025,929.97 ,H7VPK8G,150 m² Maison de vacances ∙ 6 personnes ∙ 2 chambres∙1 salle de bain,Chalet Kristall 4 1/2 Zimmer-Maisonetten-Haus
26/12/2024,04/01/2025,11/01/2025,770.70 ,HFE75C4,75 m² Appartement ∙ 4 personnes ∙ 3 chambres∙1 salle de bain,Haus Xaver
26/12/2024,11/01/2025,18/01/2025,770.70 ,HFE75C4,75 m² Appartement ∙ 4 personnes ∙ 3 chambres∙1 salle de bain,Haus Xaver
